study,vegetation,management,management_detailed,land_use_detailed,soil_order,time,pro_cs,saturation_percent,rate_stock
Schipper and Sparling 2011,scrubland to pasture,managed,land use change,scrubland to pasture,Andisols,27,56.25,52.94236727,0.744192341
Schipper and Sparling 2011,scrubland to pasture,managed,land use change,scrubland to pasture,Andisols,18,56.25,46.20491866,0.898053889
Schipper and Sparling 2011,scrubland to pasture,managed,land use change,scrubland to pasture,Ultisols,28,67.5,53.75060391,0.270586272
Schipper and Sparling 2011,scrubland to pasture,managed,land use change,scrubland to pasture,Alfisols,43,78.75,27.19396646,0.548267475
Schipper and Sparling 2011,scrubland to pasture,managed,land use change,scrubland to pasture,Alfisols,19,78.75,25.97263196,1.004358662
Schipper and Sparling 2011,scrubland to pasture,managed,land use change,scrubland to pasture,Oxisols,44,90,91.10259518,0.357307184
Sever and Makineci 2009,forest,managed,minesoils without topsoil application,afforestation,Entisols,17,44.705,0,2.194946088
Shrestha et al. 2009,grassland,managed,minesoils with topsoil application,,Entisols,5,61.5,8.516709203,2.58
Shrestha et al. 2009,grassland,managed,minesoils with topsoil application,,Ultisols,5,72.9,15.31685785,0.76
Shrestha et al. 2009,grassland,managed,minesoils with topsoil application,,Ultisols,5,72.9,15.31685785,2.82
Shrestha et al. 2009,grassland,managed,minesoils with topsoil application,,Ultisols,5,72.9,15.31685785,0.46
Shrestha et al. 2009,grassland,managed,minesoils with topsoil application,,Ultisols,5,72.9,15.31685785,2.5
Shrestha et al. 2009,grassland,managed,minesoils with topsoil application,,Entisols,5,61.5,8.516709203,2.58
Shrestha et al. 2009,grassland,managed,minesoils with topsoil application,,Entisols,5,61.5,8.516709203,3.14
Shrestha et al. 2009,grassland,managed,minesoils with topsoil application,,Entisols,5,61.5,8.516709203,2.7
Shrestha et al. 2009,grassland,managed,minesoils with topsoil application,,Entisols,5,61.5,8.516709203,3.24
Shrestha et al. 2009,grassland,managed,minesoils with topsoil application,,Alfisols,5,48.25,17.45179231,0.7
Shrestha et al. 2009,grassland,managed,minesoils with topsoil application,,Alfisols,5,48.25,17.45179231,2.46
Shrestha et al. 2009,grassland,managed,minesoils with topsoil application,,Alfisols,5,48.25,17.45179231,0.4
Shrestha et al. 2009,grassland,managed,minesoils with topsoil application,,Alfisols,5,48.25,17.45179231,2.1
Williams-Linera et al. 1983,cropland to forest,unmanaged,land use change,crops to tropical forest,Alfisols,7,76.16,24.21774923,5.132084853
